module_number,module_colour,gene_count,,,
1,Brown,547,,,
2,Black,438,,,
3,Pink,383,,,
4,Darkturquoise,100,,,
5,Salmon,230,,,
6,Red,460,,,
7,Tan,243,,,
8,Magenta,264,,,
9,Turquoise,732,,,
10,Blue,614,,,
11,Cyan,219,,,
12,Darkgreen,102,,,
13,Darkgrey,93,,,
14,Darkorange,80,,,
15,Darkred,106,,,
16,Green,528,,,
17,Greenyellow,251,,,
18,Grey,59,,,
19,Grey60,191,,,
20,Lightcyan,193,,,
21,Lightgreen,164,,,
22,Lightyellow,129,,,
23,Midnightblue,200,,,
24,Purple,251,,,
25,Royalblue,127,,,
26,White,61,,,
27,Yellow,539,,,
28,Orange,86,,,
